page name,extracted <h1> text,extracted <label> text
acb5ds,Air  circuit breaker LT 587 KW Chiller 01 | VT-FM-UTM-ACB-021,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb60ds,Air circuit breaker GE Car parkingSolar injection Panel | VT-FM-UTM-ACB-6280,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb6ds,Equipment NameAir  circuit breaker LT 587 KW Chiller 02 | VT-FM-UTM-ACB-022,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb7ds,Air  circuit breaker LT MCC CH3 Pannel | VT-FM-UTM-ACB-023,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb8ds,Air  circuit breaker LT MCC Compressor | VT-FM-UTM-ACB-024,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb9ds,Air  circuit breaker LT Spare for solar | VT-FM-UTM-ACB-025,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
ahu10ds,AHU PH L2 | VT-FM-UTM-L2AHU-103,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu11ds,AHU PH L2 | VT-FM-UTM-L2AHU-104,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu12ds,MAU PH L2 | VT-FM-UTM-L2MAU-105,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu13ds,MAU PH L2 | VT-FM-UTM-L2MAU-106,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu14ds,MAU PH L2 | VT-FM-UTM-L2MAU-107,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu1ds,AHU PH L1 | VT-FM-UTM-L1AHU-094,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu2ds,AHU PH L1 | VT-FM-UTM-L1AHU-095,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu3ds,AHU PH L1 | VT-FM-UTM-L1AHU-096,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu4ds,AHU PH L1 | VT-FM-UTM-L1AHU-097,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu5ds,AHU PH L1 | VT-FM-UTM-L1AHU-098,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu6ds,AHU PH L1 | VT-FM-UTM-L1AHU-099,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu7ds,AHU PH L1 | VT-FM-UTM-L1AHU-100,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu8ds,AHU PH L2 | VT-FM-UTM-L2AHU-101,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
ahu9ds,AHU PH L2 | VT-FM-UTM-L2AHU-102,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check water leakage for any inlet lineBlue Pipeline - Acceptance Criteria  No Leakage- | Check water leakage for any Outlet lineGrey Pipeline - Acceptance Criteria  No Leakage- | Check any noise - viation in operation - Acceptance Criteria  No- | check Filter condition Back Side - Acceptance Criteria  Not Clogged- | check Filter condition HEPA Side - Acceptance Criteria  Not Clogged- | Drain condensation pan throughly - Acceptance Criteria  No Condensate Water- | Check unit bypass valve condition - Acceptance Criteria  ON- | Check the water inlet valve condition - Acceptance Criteria  ON- | Check the water outlet valve condition - Acceptance Criteria  ON- | Check the damper opening-closing condition - Acceptance Criteria  Open- | Check the condensor drain - Acceptance Criteria  Open- | Check noise level which is to be below harmful level - Acceptance Criteria  Below 85db- | Check the avalibity of fire extinguisher  - Acceptance Criteria  Available- | label | Highlight Issues if any Type None for No Issues
airchiller1ds,Air Cooled Chiller Unit 1 | VT-FM-UTM-ACC-090,Name of Person Filling the Sheet - Acceptance Criteria  Name- | LWT - Acceptance Criteria  2025C- | Compressor 1 - Acceptance Criteria  ON-OFF- | Compressor 2 - Acceptance Criteria  ON-OFF- | Check if any Water Leakage found - Acceptance Criteria  No- | Check if any Refrigerant leakage found - Acceptance Criteria  No- | Check oil level of compressor - Acceptance Criteria  Maximum- | Check if any Abnormal Noise - Acceptance Criteria  No- | Check for any Viation - Acceptance Criteria  No- | Check Voltage on MCC electrical panel - Acceptance Criteria  415 V- | label | label | Highlight Issues if any Type None for No Issues
airchiller2ds,Air Cooled Chiller Unit 2 | VT-FM-UTM-ACC-091,Name of Person Filling the Sheet - Acceptance Criteria  Name- | LWT - Acceptance Criteria  2025C- | Compressor 1 - Acceptance Criteria  ON-OFF- | Compressor 2 - Acceptance Criteria  ON-OFF- | Check if any Water Leakage found - Acceptance Criteria  No- | Check if any Refrigerant leakage found - Acceptance Criteria  No- | Check oil level of compressor - Acceptance Criteria  Maximum- | Check if any Abnormal Noise - Acceptance Criteria  No- | Check for any Viation - Acceptance Criteria  No- | Check Voltage on MCC electrical panel - Acceptance Criteria  415 V- | label | label | Highlight Issues if any Type None for No Issues
aircompressor1ds,Air Compressor  1 1653CFM-S ZR 275 | VT-FM-UTM-AC920CFM-083,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the Housekeeping - Cleaning of Air Comp  - Acceptance Criteria  Clean- | Check the Availability of Fire Extinguisher  Rubber Mat - Acceptance Criteria  Available- | Check Panel for switches of compressor  in Auto mode - Acceptance Criteria  Auto- | Check any Alarm indication on display screen - Acceptance Criteria  No Alarm- | Check outlet condition of valve - Acceptance Criteria  Open- | Check condensate drain Auto drain condition - Acceptance Criteria  No Condensate Water- | Check for any viation or noise - Acceptance Criteria  Normal- | Check any leakages of air  oil - Acceptance Criteria  No Leakage- | Check oil level in compressor - Acceptance Criteria  Maximum- | Check inlet  outlet valve condition of air receiver tank - Acceptance Criteria  Observation On-Off- | Drain the condensate manually of air receiver tanks - Acceptance Criteria  No Condensate Water- | label | Highlight Issues if any Type None for No Issues
aircompressor2ds,Air Compressor  2 920 CF-ZR 160 VSD | VT-FM-UTM-AC920CFM-082,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the Housekeeping - Cleaning of Air Comp  - Acceptance Criteria  Clean- | Check the Availability of Fire Extinguisher  Rubber Mat - Acceptance Criteria  Available- | Check Panel for switches of compressor  in Auto mode - Acceptance Criteria  Auto- | Check any Alarm indication on display screen - Acceptance Criteria  No Alarm- | Check outlet condition of valve - Acceptance Criteria  Open- | Check condensate drain Auto drain condition - Acceptance Criteria  No Condensate Water- | Check for any viation or noise - Acceptance Criteria  Normal- | Check any leakages of air  oil - Acceptance Criteria  No Leakage- | Check oil level in compressor - Acceptance Criteria  Maximum- | Check inlet  outlet valve condition of air receiver tank - Acceptance Criteria  Observation On-Off- | Drain the condensate manually of air receiver tanks - Acceptance Criteria  No Condensate Water- | label | Highlight Issues if any Type None for No Issues
airdryer1ds,Air Dryer1  FD1500VSD | VT-FM-UTM-AD1500VSD-084,Name of Person Filling the Sheet - Acceptance Criteria  Name- | label - Acceptance Criteria  ON- | Any Leakage Found - Acceptance Criteria  No- | Check auto drain valve is working fine - Acceptance Criteria  Yes- | Any abnormal sound and noise of the dryer - Acceptance Criteria  No- | Check the fuse condition inside the Electrical sub panel of the dryer  - Acceptance Criteria  OK- | Check the cleanliness of the machine - Acceptance Criteria  Clean- | Any leakage of refrigerant line joints with Soap solution - Acceptance Criteria  NO- | label | Highlight Issues if any Type None for No Issues
airdryer2ds,Air Dryer2  FD1500VSD | VT-FM-UTM-AD1500VSD-085,Name of Person Filling the Sheet - Acceptance Criteria  Name- | label - Acceptance Criteria  ON- | Any Leakage Found - Acceptance Criteria  No- | Check auto drain valve is working fine - Acceptance Criteria  Yes- | Any abnormal sound and noise of the dryer - Acceptance Criteria  No- | Check the fuse condition inside the Electrical sub panel of the dryer  - Acceptance Criteria  OK- | Check the cleanliness of the machine - Acceptance Criteria  Clean- | Any leakage of refrigerant line joints with Soap solution - Acceptance Criteria  NO- | label | Highlight Issues if any Type None for No Issues
airreservoirtank1ds,Air Reservoir tank  1 | VT-FM-UTM-AIRRESET1-5235,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Air Pressure - Acceptance Criteria  7 kg-cm2- | Check Air Inlet Valve Condition - Acceptance Criteria  On- | Check Air Outlet Valve Condition - Acceptance Criteria  On- | Any Air Leakage in Tank or Line - Acceptance Criteria  No- | Water Drain valve  Open the valve once in a day for 2 min - Acceptance Criteria  Done- | Highlight Issues if any Type None for No Issues
airreservoirtank2ds,Air Reservoir tank  2 | VT-FM-UTM-AIRRESET1-5236,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Air Pressure - Acceptance Criteria  7 kg-cm2- | Check Air Inlet Valve Condition - Acceptance Criteria  On- | Check Air Outlet Valve Condition - Acceptance Criteria  On- | Any Air Leakage in Tank or Line - Acceptance Criteria  No- | Water Drain valve  Open the valve once in a day for 2 min - Acceptance Criteria  Done- | Highlight Issues if any Type None for No Issues
coolingtower1ds,Cooling Tower1 | VT-FM-UTM-CT-092,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check main Panel Power Supply is ON - Acceptance Criteria  ON- | Check the Operating Oil Level - Acceptance Criteria  Maximum- | Check Water Level of the Cooling in Sump - Acceptance Criteria  High- | Any Leakage of Water - Acceptance Criteria  No- | Check Pressurise Unit - Acceptance Criteria  Auto- | Check all pumps - Acceptance Criteria  ON- | Any Water Pipe Line Leakage - Acceptance Criteria  No- | Any Abnormal Noise or Viations - Acceptance Criteria  No- | Highlight Issues if any Type None for No Issues
coolingtower2ds,Cooling Tower2 | VT-FM-UTM-CT-093,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check main Panel Power Supply is ON - Acceptance Criteria  ON- | Check the Operating Oil Level - Acceptance Criteria  Maximum- | Check Water Level of the Cooling in Sump - Acceptance Criteria  High- | Any Leakage of Water - Acceptance Criteria  No- | Check Pressurise Unit - Acceptance Criteria  Auto- | Check all pumps - Acceptance Criteria  ON- | Any Water Pipe Line Leakage - Acceptance Criteria  No- | Any Abnormal Noise or Viations - Acceptance Criteria  No- | Highlight Issues if any Type None for No Issues
ddcpanel1ds,DDC Panel,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check all MCB condition - Acceptance Criteria  ON- | Check for earthing - Acceptance Criteria  OK- | Any wire burning smell - Acceptance Criteria  NO- | Any abnormal noise - Acceptance Criteria  NO- | Highlight Issues if any Type None for No Issues
dg10101ds,DG1 1010 KVA ESN NO 25451153 | VT-FM-UTM-DG-1010KVA-013,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
dg10102ds,DG1 Synchoronising Panel | VT-FM-UTM-DG1010KVA-SYP-015,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
dg10103ds,DG3 1010 KVA ESN NO 25431786 | VT-FM-UTM-DG-1010KVA-6180,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
dg10104ds,DG4 1010 KVA ESN NO 25366157 | Equipment VT-FM-UTM-DG4-1010KVA-6191,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
dg5001ds,DG2  500 KVA ESN NO 25309737 | VT-FM-UTM-DG-500KVA-014,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
dg5002ds,DG2 Synchoronising Panel | VT-FM-UTM-DG500KVA-SYP-016,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
dg5003ds,DG5 500 KVA ESN NO 25334984 | VT-FM-UTM-DG5-500KVA-6192,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check the outlet valve of the Diesel tank - Acceptance Criteria  On- | Check the emergency switch - Acceptance Criteria  Off- | Check DG is in Auto or in Manual mode - Acceptance Criteria  Auto- | Check for any oil leakage - Acceptance Criteria  No Leakage- | Check the coolant level - Acceptance Criteria  High- | Inspect the Exhaust of DG - Acceptance Criteria  No Rust-Leakage- | Check for any viation or noise - Acceptance Criteria  No Viations - Noises- | label | Highlight Issues if any Type None for No Issues
eldbpanel1ds,ELDB Panel  Panel Room | VT-FM-UTM-PNLR-ELDBP-5037,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check all MCB condition - Acceptance Criteria  ON- | Check MCCB condition - Acceptance Criteria  ON- | Check RCCB condition - Acceptance Criteria  ON- | Check for earthing - Acceptance Criteria  OK- | Any wire burning smell - Acceptance Criteria  NO- | Any abnormal noise - Acceptance Criteria  NO- | Highlight Issues if any Type None for No Issues
